p,c,s
53.889999,22.465,90.669998
51.099998,21.309999,84.370003
50.439999,21.645,84.050003
52.040001,21.93,87.389999
51.490002,21.200001,83.330002
50.610001,20.635,83.599998
51.529999,21.34,79.029999
50.720001,21.184999,76.870003
47.599998,19.865,71.730003
47.419998,19.785,72.639999
49.470001,20.825001,79.93
52.470001,22.375,81.449997
52.220001,22.43,81.059998
52.279999,22.495001,82.529999
52.040001,22.514999,85.25
47.98,21.465,84.540001
50.450001,21.355,87.389999
49.720001,21.469999,92.139999
49.66,21.815001,88.68
52.060001,23.5,90.510002
50.009998,23.315001,89.669998
54.27,24.545,93.650002
53.360001,24.205,94.400002
52.970001,23.965,91.550003
53.049999,23.75,90.120003
56.52,24.59,92.330002
54.849998,24.254999,88
57.279999,25.264999,93.260002
55.889999,24.565001,95.550003
56.330002,24.639999,97.650002
58.389999,24.584999,100.410004
56.68,24.23,100.800003
56.450001,24.68,99.959999
57.880001,24.59,103.169998
56.349998,24.9,99.82
58.040001,25.315001,103.730003
58.34,26.334999,107.32
58.470001,26.290001,106.18
58.66,26.85,105.589996
61.169998,27.405001,105.800003
61.619999,27.42,109.309998
61.84,27.035,108.230003
60.990002,26.754999,104.410004
60.380001,26.745001,104.919998
62.599998,28.065001,110.150002
62.299999,28.290001,111.269997
63.189999,29.055,111.379997
63.650002,28.98,111.25
61.799999,28.915001,110.019997
60.68,29.209999,111.519997
60.68,28.645,111.949997
61.310001,28.84,112.519997
61.360001,28.165001,113.709999
62.049999,28.514999,114.620003
61.950001,27.75,113.889999
60.290001,27.254999,109.830002
61.290001,27.434999,109.830002
60.380001,26.895,107.010002
62.110001,27.665001,110.260002
62.080002,27.58,110.82
63.98,26.965,112.300003
64.43,27.1,114.970001
66.57,26.92,117.099998
66.260002,27.309999,116.839996
66.160004,27.5,117
65.989998,26.91,118.360001
66.290001,27.475,121.190002
65.980003,27.094999,120.660004
64.75,26.68,119.379997
65.199997,26.83,116.82
66.940002,27.01,117.449997
66.040001,26.559999,111.760002
61.23,25.040001,107.169998
63.459999,26.205,110.330002
62.490002,25.674999,106.050003
63.91,26.200001,111.959999
62.73,26.120001,109.230003
60.950001,25.059999,103.220001
62.93,25.735001,106.110001
63.560001,26.41,109.650002
63.950001,27.040001,107.07
65.199997,27.440001,110.830002
66.169998,28.275,112.970001
65.449997,28.02,109.300003
65.519997,27.92,109.790001
64.57,27.695,105.940002
64.889999,28.655001,108.459999
65.43,28.915001,110.410004
66.5,28.709999,113.080002
66.660004,29.115,113.419998
66.75,29.379999,114.470001
68.110001,29.9,116.029999
66.400002,29.969999,117.919998
64.970001,30.575001,117.870003
64.269997,30.594999,118.379997
65.199997,30.975,119.949997
65.25,31.275,122.099998
63.939999,31.26,118.220001
64.330002,32.305,120.199997
65.629997,32.349998,121.010002
64.629997,32.195,123.279999
65.239998,32.369999,124.099998
65.68,32.794998,125.779999
65.330002,32.724998,125.919998
66.589996,31.745001,127.639999
66.730003,31.52,128.580002
65.900002,31.709999,128.25
65.860001,31.48,129.669998
64.650002,31.43,130.490005
64.419998,31.575001,132.270004
63.959999,31.700001,133.850006
62.93,31.955,131.020004
62.939999,32.215,131.210007
64.650002,32.810001,132.389999
62.310001,30.799999,126.18
64.199997,32.134998,129.660004
65.050003,33.02,132.770004
65.75,33.814999,133.660004
66.449997,33.639999,131.460007
67.330002,33.924999,133.100006
67.93,33.5,135.669998
69.830002,33.73,134.830002
70.199997,33.66,134.440002
71.269997,34.150002,134.360001
70.449997,33.455002,132.389999
70.290001,33.380001,131.869995
68.839996,32.700001,128.419998
68.480003,32.485001,127.019997
68.779999,33.200001,128.669998
69.959999,33.355,130.720001
70.169998,34.264999,133.970001
68.889999,34.029999,131.839996
68.489998,34.435001,132.649994
63.860001,34.345001,130.600006
64.480003,34.200001,126.169998
60.32,31.98,112.290001
64.620003,34.639999,119.669998
63.700001,34.84,118.080002
64.43,35.224998,122.220001
61.619999,35.400002,120.290001
61.580002,34.884998,119.370003
60.790001,34.639999,116.629997
61.970001,34.029999,115.139999
60.290001,32.764999,114.419998
62.700001,33.740002,120.75
62.110001,33.514999,121.129997
62.009998,33.735001,124.300003
62.41,33.884998,123.989998
62.279999,33.514999,123.160004
65.089996,33.505001,124.080002
62.400002,32.435001,116.559998
64,33.615002,124.989998
64.910004,33.389999,126.730003
63.98,33.130001,121.739998
66.040001,34.785,124.169998
65.910004,34.755001,124.830002
66.739998,34.849998,127.699997
65.010002,34.029999,129.199997
64.849998,33.794998,130.770004
66.699997,34.215,132.559998
66.379997,33.924999,132.470001
66.739998,34.165001,135.190002
63.07,34.200001,134.559998
63.099998,34.625,136.029999
62.939999,34.93,137.020004
62.619999,34.395,135.690002
64.059998,35.110001,139.910004
65.360001,35.560001,140.210007
65.93,36.330002,140.470001
66.339996,36.73,139.860001
65.150002,36.060001,137
66.209999,37.084999,138.610001
66.669998,37.465,139.190002
66.830002,38.580002,140.320007
65.940002,38.389999,135.740005
68.75,38.165001,132.830002
68,37.275002,132.270004
68.220001,37.529999,131.759995
67.489998,37.305,131.970001
68.550003,37.345001,132.070007
68.910004,37.779999,135.479996
69.75,38.169998,133.169998
70.760002,39.580002,137.410004
70.129997,38.73,134.160004
70.379997,38.720001,137.369995
70.300003,38.509998,133.960007
72.400002,40.505001,137.589996
72.57,39.779999,140.490005
72.620003,39.349998,140.949997
72.889999,38.77,141.820007
72.779999,37.459999,141.509995
71.540001,37.509998,140.910004
70.059998,37.549999,144.389999
70.849998,38.52,146.699997
70.419998,37.759998,143.289993
70.699997,38.240002,145.089996
70.290001,38.09,143.279999
70.099998,37.740002,146.199997
68.400002,36.880001,141.020004
69.239998,37.18,141.350006
68.989998,36.720001,139.720001
68.169998,36.009998,135.929993
69.309998,37.389999,139.449997
70.349998,37.560001,141.460007
69.709999,37.310001,141.5
70.239998,37.639999,143.509995
69.879997,36.779999,144.289993
68.839996,36.419998,141.75
69.330002,37.599998,146.059998
70.010002,37.029999,145.919998
71.480003,37.32,147.050003
71.809998,37.130001,149.369995
73.209999,37.5,150.070007
72.769997,38.310001,151.160004
71.5,37.209999,152.149994
75.419998,37.73,151.339996
75.480003,38.450001,151.910004
76.800003,39.02,154.5
76.949997,38.59,155.899994
76.32,39.869999,155.690002
78.290001,40.220001,156.190002
78.959999,40.169998,155.229996
80.059998,41.07,158.669998
78.849998,42.549999,155.110001
82.339996,42.150002,157.880005
82.209999,42.209999,158.279999
83.25,42.459999,163.339996
84.25,42.919998,166.119995
82.970001,42.25,165.929993
81.120003,41.400002,165.220001
81.199997,40.650002,161.270004
82.110001,40.389999,161.75
80.889999,40.41,163.449997
81.300003,40.330002,160.139999
80.730003,40.490002,161.279999
82.989998,40.68,165.190002
85.239998,40.84,167.949997
85.639999,40.860001,168.520004
83.540001,40.080002,168.710007
84.760002,40.150002,169.179993
82.75,39.529999,168.740005
79.080002,38.279999,164.559998
79.370003,38.349998,163.910004
79.529999,38.540001,165.75
79.849998,38.779999,169.399994
82.879997,39.59,173.050003
80.209999,38.330002,169.039993
79.559998,37.43,169.179993
79.5,37.080002,165.600006
82.269997,38,172.070007
83.330002,39.09,174.570007
84.720001,39.619999,176.289993
86.68,40.049999,177.169998
85.949997,40.119999,178.380005
85.129997,40.060001,178.470001
84.419998,40.189999,181.119995
82.650002,40.369999,179.729996
82.669998,40.130001,178.720001
81.419998,40.02,181.699997
82.040001,40.189999,182.929993
82.940002,41.310001,184.690002
83.239998,39.939999,183.520004
82.889999,39.759998,184.660004
82.849998,39.900002,184.300003
80.220001,37.900002,177.350006
79.419998,37.610001,175.169998
81.489998,38.509998,182.070007
77.099998,37.099998,183.020004
78.650002,37.869999,184.850006
81.110001,38.349998,187.75
82.150002,38.470001,187.279999
81.370003,38.139999,186.660004
82.870003,38.610001,184.970001
82.730003,38.330002,188.880005
83.910004,38.990002,187.089996
84.769997,40.59,186.130005
85.410004,40.73,187.449997
85.889999,40.790001,188.309998
86.800003,40.91,187.880005
86.839996,40.889999,189.059998
86.099998,40.869999,189.130005
87.07,40.580002,191.380005
87.43,40.790001,193.190002
87.779999,40.860001,194.919998
88.900002,41.560001,196.259995
88.580002,41.959999,195.580002
89.669998,42.290001,197.229996
89.769997,41.950001,197.119995
90.5,42.119999,197.960007
90.82,40.810001,198.639999
88.910004,39.619999,196.979996
90.510002,39.919998,192.070007
91.739998,39.939999,194.839996
92.230003,41.25,198.919998
92.230003,41.599998,200.25
92.75,41.779999,200.5
91.790001,42.169998,200.070007
92.849998,41.610001,200.75
93.5,42.27,199.559998
92.650002,42.740002,194.350006
93.940002,44.549999,196.639999
91.769997,43.23,186.429993
94.459999,40.619999,192.690002
94.690002,40.959999,198.110001
96.889999,42.310001,202.339996
97.160004,42.709999,203.960007
98.410004,44.220001,205.220001
99.349998,44.290001,207.639999
98.32,43.799999,207.889999
96.18,41.599998,203.160004
93.720001,41.549999,201.789993
97.089996,42.939999,207.770004
94.559998,42.220001,205.539993
95.739998,42.990002,202.309998
96.669998,42.560001,200.860001
97.400002,43.360001,203.080002
95.720001,41.919998,200.139999
96.599998,41.68,204.059998
100.400002,42.369999,206.929993
