d,o,h,l,c
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1.00,4282.25,4352.649902,4282.25,4332.100098
2.00,4332.200195,4332.200195,4159.149902,4189.850098
3.00,4191.200195,4327,4191.200195,4313.549805
4.00,4314.350098,4342,4285.549805,4332.950195
5.00,4331.600098,4422.950195,4235.700195,4413.549805
6.00,4426.100098,4436.149902,4362.899902,4395.350098
7.00,4395.799805,4515.149902,4376,4502.850098
8.00,4506.25,4615.899902,4503.899902,4517.549805
9.00,4515.25,4580.149902,4493.700195,4523.850098
10.00,4518.350098,4546.350098,4464,4529.5
11.00,4529.350098,4625.200195,4529.350098,4620.399902
12.00,4620.950195,4649.850098,4525.75,4552.25
13.00,4548.049805,4572.649902,4497.25,4529.049805
14.00,4524.200195,4529.799805,4421.25,4430.700195
15.00,4430.700195,4447.399902,4379.850098,4393.049805
16.00,4393.100098,4393.700195,4316.549805,4368.25
17.00,4365.450195,4434.899902,4365.450195,4415.75
18.00,4416.200195,4418.549805,4271.299805,4283.850098
19.00,4283.850098,4337,4248,4327.450195
20.00,4317.950195,4398.799805,4317.950195,4335.350098
21.00,4335.200195,4345.049805,4283.299805,4337.5
22.00,4336.850098,4364.25,4282.649902,4292.100098
23.00,4290.75,4304.5,4201.850098,4214
24.00,4230.600098,4368.799805,4230.600098,4360
25.00,4356.100098,4365,4281.350098,4348.649902
26.00,4358.850098,4522.399902,4343.100098,4504
27.00,4512.950195,4514.600098,4419.450195,4447.75
28.00,4444.700195,4444.700195,4328.899902,4352.299805
29.00,4358.299805,4558,4358.299805,4482.299805
30.00,4485.149902,4497.5,4418.950195,4468.700195
31.00,4467.5,4467.5,4382.350098,4400.25
32.00,4397.25,4399.299805,4272.75,4290.299805
33.00,4291.600098,4323.899902,4200.149902,4228.450195
