d,c_n,c_bn,days
10/1/2007,5068.950195,7987.5,1
10/3/2007,5210.799805,8097.899902,2
10/4/2007,5208.649902,8035.899902,3
10/5/2007,5185.850098,7845.25,4
10/8/2007,5085.100098,7626.399902,5
10/9/2007,5327.25,7895.850098,6
10/10/2007,5441.450195,8030.649902,7
10/11/2007,5524.850098,8158.799805,8
10/12/2007,5428.25,7934,9
10/15/2007,5670.399902,8286.299805,10
10/16/2007,5668.049805,8452.200195,11
10/17/2007,5559.299805,8099.899902,12
10/18/2007,5351,7608.75,13
10/19/2007,5215.299805,7423.799805,14
10/22/2007,5184,7568,15
10/23/2007,5473.700195,8101.100098,16
10/24/2007,5496.149902,8228.650391,17
10/25/2007,5568.950195,8428.650391,18
10/26/2007,5702.299805,8749.900391,19
10/29/2007,5905.899902,9000.75,20
10/30/2007,5868.75,8934.150391,21
10/31/2007,5900.649902,9013.150391,22
11/1/2007,5866.450195,9198.599609,23
11/2/2007,5932.399902,9560.700195,24
11/5/2007,5847.299805,9397.549805,25
11/6/2007,5786.5,9216.299805,26
11/7/2007,5782.350098,9090.200195,27
11/8/2007,5698.75,8876.25,28
11/12/2007,5617.100098,8758.200195,29
11/13/2007,5695.399902,9060,30
11/14/2007,5937.899902,9613.049805,31
11/15/2007,5912.100098,9454.700195,32
11/16/2007,5906.850098,9474.150391,33
11/19/2007,5907.649902,9396.25,34
11/20/2007,5780.899902,9277.849609,35
11/21/2007,5561.049805,8829.799805,36
11/22/2007,5519.350098,8998.799805,37
11/23/2007,5608.600098,8977.900391,38
11/26/2007,5731.700195,9122.450195,39
11/27/2007,5698.149902,9070.75,40
11/28/2007,5617.549805,8970.849609,41
11/29/2007,5634.600098,9124.400391,42
11/30/2007,5762.75,9375.75,43
12/3/2007,5865,9397.549805,44
12/4/2007,5858.350098,9367.099609,45
12/5/2007,5940,9581.299805,46
12/6/2007,5954.700195,9620.150391,47
12/7/2007,5974.299805,9796.099609,48
12/10/2007,5960.600098,9864.599609,49
12/11/2007,6097.25,10090.700195,50
12/12/2007,6159.299805,10056.700195,51
12/13/2007,6058.100098,9920.450195,52
12/14/2007,6047.700195,9803.150391,53
12/17/2007,5777,9426.700195,54
12/18/2007,5742.299805,9279.200195,55
12/19/2007,5751.149902,9240.349609,56
12/20/2007,5766.5,9245.450195,57
12/24/2007,5985.100098,9563.549805,58
12/26/2007,6070.75,9755.200195,59
12/27/2007,6081.5,9785.049805,60
12/28/2007,6079.700195,9828.349609,61
12/31/2007,6138.600098,9863.450195,62
1/1/2008,6144.350098,9905.25,63
1/2/2008,6179.399902,10250.849609,64
1/3/2008,6178.549805,10100.700195,65
1/4/2008,6274.299805,10233.200195,66
1/7/2008,6279.100098,10391.099609,67
1/8/2008,6287.850098,10355.599609,68
1/9/2008,6272,10306.450195,69
1/10/2008,6156.950195,10266.849609,70
1/11/2008,6200.100098,10561.549805,71
1/14/2008,6206.799805,10698.349609,72
1/15/2008,6074.25,10465.700195,73
1/16/2008,5935.75,10346.950195,74
1/17/2008,5913.200195,10261.5,75
1/18/2008,5705.299805,9739.900391,76
1/21/2008,5208.799805,9038.950195,77
1/22/2008,4899.299805,8682.450195,78
1/23/2008,5203.399902,9259.200195,79
1/24/2008,5033.450195,9133.849609,80
1/25/2008,5383.350098,9752.25,81
1/28/2008,5274.100098,9901.900391,82
1/29/2008,5280.799805,9569.599609,83
1/30/2008,5167.600098,9404.150391,84
1/31/2008,5137.450195,9226.25,85
2/1/2008,5317.25,9327.049805,86
2/4/2008,5463.5,9561.5,87
2/5/2008,5483.899902,9397.799805,88
2/6/2008,5322.549805,9185.650391,89
2/7/2008,5133.25,8960.450195,90
2/8/2008,5120.350098,8817,91
2/11/2008,4857,8419.25,92
2/12/2008,4838.25,8512.349609,93
2/13/2008,4929.450195,8748.75,94
2/14/2008,5202,9125.200195,95
2/15/2008,5302.899902,9380.049805,96
2/18/2008,5276.899902,9404.200195,97
2/19/2008,5280.799805,9423.450195,98
2/20/2008,5154.450195,9129.099609,99
2/21/2008,5191.799805,8946.200195,100
2/22/2008,5110.75,8685.099609,101
2/25/2008,5200.700195,8666.5,102
2/26/2008,5270.049805,8742.25,103
2/27/2008,5268.399902,8719.599609,104
2/28/2008,5285.100098,8608.25,105
2/29/2008,5223.5,8688.349609,106
3/3/2008,4953,8047.450195,107
3/4/2008,4864.25,7736.600098,108
3/5/2008,4921.399902,7588.350098,109
3/7/2008,4771.600098,7268.149902,110
3/10/2008,4800.399902,7272.5,111
3/11/2008,4865.899902,7356.399902,112
3/12/2008,4872,7341.549805,113
3/13/2008,4623.600098,6914.649902,114
3/14/2008,4745.799805,7106,115
3/17/2008,4503.100098,6556.200195,116
3/18/2008,4533,6472.799805,117
3/19/2008,4573.950195,6456.549805,118
3/24/2008,4609.850098,6634.600098,119
3/25/2008,4877.5,7147.149902,120
3/26/2008,4828.850098,7120.899902,121
3/27/2008,4830.25,6969.299805,122
3/28/2008,4942,7037.850098,123
3/31/2008,4734.5,6655,124
4/1/2008,4739.549805,6608.100098,125
4/2/2008,4754.200195,6772.700195,126
4/3/2008,4771.600098,6746.100098,127
4/4/2008,4647,6545.149902,128
4/7/2008,4761.200195,6832.399902,129
4/8/2008,4709.649902,6862.700195,130
4/9/2008,4747.049805,7059.549805,131
4/10/2008,4733,6872.850098,132
4/11/2008,4777.799805,6838.450195,133
4/15/2008,4879.649902,6916.75,134
4/16/2008,4887.299805,6951.899902,135
